Email,Type,URL,RECIPE NAME,Form of the Data,TOTAL VOLUME,Flour,Milk,Sugar,Butter or Margarine,Egg,Baking Powder,Vanilla,Salt,Baking Soda,Cream of tartar,cinnamon,allspice,molassas,nutmeg,ginger,cloves,Canned Pumpkin,Apple Pie Spice,Pumpkin Spice,Peeled Sweet Potatoes,Raisins,Currants,Craisins,Berries,Cranberries,Choc. Chips,Dried Cranberries,Almond Milk,Cornmeal,Eggnog,Lemon Rind Zest,Orange Peel,Chopped Walnuts,Buttermilk,Shortening,half-and-half,Maple Extract,Sour Cream,Brown Sugar,Chopped Pears,Sourdough Starter,Other Things,Bourbon,Canola oil,Greek yogurt,Unsweetened cocoa powder,Cornstarch,Cold Water,Corn syrup,Pecans,Yeast
jv6891,Cupcake,https://www.halfbakedharvest.com/chocolate-bourbon-pecan-pie-cupcakes-butter-pecan-frosting/,BOURBON CHOCOLATE CUPCAKES,Raw Recipe,,2 C,,1.25 C,,5 egg,1.5 t,1 t,1 t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 C,,,,1 C + 2 T,1 C,2/3 C,3/4 C,2 T,0.25 C,0.75 C,1 C,
jv6891,Cupcake,https://www.halfbakedharvest.com/chocolate-bourbon-pecan-pie-cupcakes-butter-pecan-frosting/,BOURBON CHOCOLATE CUPCAKES,In teaspoons,515.5,96,,60,,60,1.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,54,48,32,36,6,12,36,48,
jv6891,Cupcake,https://www.halfbakedharvest.com/chocolate-bourbon-pecan-pie-cupcakes-butter-pecan-frosting/,BOURBON CHOCOLATE CUPCAKES,Normalized to percent,100,18.62269641,0,11.63918526,0,11.63918526,0.2909796314,0.193986421,0.193986421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.655674103,0,0,0,10.47526673,9.311348206,6.20756547,6.983511154,1.163918526,2.327837051,6.983511154,9.311348206,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jv6891,Muffin,http://www.delish.com/cooking/recipe-ideas/recipes/a57270/french-toast-muffins-recipe/,French Toast Muffins,Raw Recipe,,3.25 C + 1 T,1.5 C,1 T + 2 t,2 T,6 egg,,2 t,1.25 t,,,1 t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.25 Ounces
jv6891,Muffin,http://www.delish.com/cooking/recipe-ideas/recipes/a57270/french-toast-muffins-recipe/,French Toast Muffins,In teaspoons,271.75,159,72,5,6,24,,2,1.25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
jv6891,Muffin,http://www.delish.com/cooking/recipe-ideas/recipes/a57270/french-toast-muffins-recipe/,French Toast Muffins,Normalized to percent,100,58.50965961,26.4949402,1.839926403,2.207911684,8.831646734,0,0.7359705612,0.4599816007,0,0,0.3679852806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5519779209
